Episode no = 830; won: False; Q(s,a) = 47.098138213459926; reward = -481.0; and epsilon = 0.8893333333333333, win percentage = 0.0, 2022-04-26 07:24:17
Episode no = 840; won: False; Q(s,a) = 57.41409165714244; reward = -244.0; and epsilon = 0.888, win percentage = 0.0, 2022-04-26 07:24:22
Episode no = 850; won: False; Q(s,a) = 46.413303232366836; reward = -481.0; and epsilon = 0.8866666666666667, win percentage = 0.0, 2022-04-26 07:24:26
Episode no = 860; won: False; Q(s,a) = 56.749306257106376; reward = -487.0; and epsilon = 0.8853333333333333, win percentage = 0.0, 2022-04-26 07:24:32
Episode no = 870; won: False; Q(s,a) = 56.66220198014139; reward = -456.0; and epsilon = 0.884, win percentage = 0.0, 2022-04-26 07:24:37
Episode no = 880; won: False; Q(s,a) = 53.40012205938134; reward = -410.0; and epsilon = 0.8826666666666667, win percentage = 0.0, 2022-04-26 07:24:42
Episode no = 890; won: False; Q(s,a) = 48.877484740842924; reward = -481.0; and epsilon = 0.8813333333333333, win percentage = 0.0, 2022-04-26 07:24:46
Episode no = 900; won: False; Q(s,a) = nan; reward = -465.0; and epsilon = 0.88, win percentage = 0.0, 2022-04-26 07:24:51
Episode no = 910; won: False; Q(s,a) = 63.55032606775671; reward = -490.0; and epsilon = 0.8786666666666667, win percentage = 0.0, 2022-04-26 07:24:53
Episode no = 920; won: False; Q(s,a) = 62.25506373720927; reward = -472.0; and epsilon = 0.8773333333333333, win percentage = 0.0, 2022-04-26 07:24:59
Episode no = 930; won: False; Q(s,a) = 57.23001528626935; reward = -330.0; and epsilon = 0.876, win percentage = 0.0, 2022-04-26 07:25:03
Episode no = 940; won: False; Q(s,a) = nan; reward = -450.0; and epsilon = 0.8746666666666667, win percentage = 0.0, 2022-04-26 07:25:07
Episode no = 950; won: False; Q(s,a) = 64.30565701242185; reward = -482.0; and epsilon = 0.8733333333333333, win percentage = 0.0, 2022-04-26 07:25:11
Episode no = 960; won: False; Q(s,a) = 65.31765871097078; reward = -420.0; and epsilon = 0.872, win percentage = 0.0, 2022-04-26 07:25:16
Episode no = 970; won: False; Q(s,a) = 62.76129096553862; reward = -470.0; and epsilon = 0.8706666666666667, win percentage = 0.0, 2022-04-26 07:25:21
Episode no = 980; won: False; Q(s,a) = 66.90136599261643; reward = -441.0; and epsilon = 0.8693333333333333, win percentage = 0.0, 2022-04-26 07:25:27
Episode no = 990; won: False; Q(s,a) = 65.90859948855447; reward = -482.0; and epsilon = 0.868, win percentage = 0.0, 2022-04-26 07:25:29
Episode no = 1000; won: False; Q(s,a) = 57.25157396868797; reward = -464.0; and epsilon = 0.8666666666666667, win percentage = 0.0, 2022-04-26 07:25:34
Episode no = 1010; won: False; Q(s,a) = 59.999643351645055; reward = -371.0; and epsilon = 0.8653333333333333, win percentage = 0.0, 2022-04-26 07:25:39
Episode no = 1020; won: False; Q(s,a) = 60.208869898937806; reward = -443.0; and epsilon = 0.864, win percentage = 0.0, 2022-04-26 07:25:45
Episode no = 1030; won: False; Q(s,a) = 51.60311833687583; reward = -419.0; and epsilon = 0.8626666666666667, win percentage = 0.0, 2022-04-26 07:25:49
Episode no = 1040; won: False; Q(s,a) = 61.1442567275931; reward = -419.0; and epsilon = 0.8613333333333333, win percentage = 0.0, 2022-04-26 07:25:53
Episode no = 1050; won: False; Q(s,a) = 72.1565857833492; reward = -234.0; and epsilon = 0.86, win percentage = 0.0, 2022-04-26 07:25:58
Episode no = 1060; won: False; Q(s,a) = 61.5213973304832; reward = -433.0; and epsilon = 0.8586666666666667, win percentage = 0.0, 2022-04-26 07:26:02
Episode no = 1070; won: False; Q(s,a) = 72.6221660442964; reward = -489.0; and epsilon = 0.8573333333333333, win percentage = 0.0, 2022-04-26 07:26:05
Episode no = 1080; won: False; Q(s,a) = 70.20646081652505; reward = -239.0; and epsilon = 0.856, win percentage = 0.0, 2022-04-26 07:26:12
Episode no = 1090; won: False; Q(s,a) = nan; reward = -450.0; and epsilon = 0.8546666666666667, win percentage = 0.0, 2022-04-26 07:26:17
Episode no = 1100; won: False; Q(s,a) = 66.9234254692502; reward = -489.0; and epsilon = 0.8533333333333333, win percentage = 0.0, 2022-04-26 07:26:22
Episode no = 1110; won: False; Q(s,a) = 68.15042478866921; reward = -452.0; and epsilon = 0.852, win percentage = 0.0, 2022-04-26 07:26:26
Episode no = 1120; won: False; Q(s,a) = 65.43072039255622; reward = -464.0; and epsilon = 0.8506666666666667, win percentage = 0.0, 2022-04-26 07:26:31
Episode no = 1130; won: False; Q(s,a) = 74.23177285846363; reward = -451.0; and epsilon = 0.8493333333333333, win percentage = 0.0, 2022-04-26 07:26:35
Episode no = 1140; won: False; Q(s,a) = nan; reward = -456.0; and epsilon = 0.848, win percentage = 0.0, 2022-04-26 07:26:41
Episode no = 1150; won: False; Q(s,a) = 76.27210778870231; reward = -378.0; and epsilon = 0.8466666666666667, win percentage = 0.0, 2022-04-26 07:26:45
Episode no = 1160; won: False; Q(s,a) = 72.62905284679658; reward = -445.0; and epsilon = 0.8453333333333333, win percentage = 0.0, 2022-04-26 07:26:48
Episode no = 1170; won: False; Q(s,a) = 73.81251697564554; reward = -492.0; and epsilon = 0.844, win percentage = 0.0, 2022-04-26 07:26:53
Episode no = 1180; won: False; Q(s,a) = 73.56850505946952; reward = -287.0; and epsilon = 0.8426666666666667, win percentage = 0.0, 2022-04-26 07:26:59
Episode no = 1190; won: False; Q(s,a) = 76.61867580878202; reward = -505.0; and epsilon = 0.8413333333333333, win percentage = 0.0, 2022-04-26 07:27:04
Episode no = 1200; won: False; Q(s,a) = 58.50833397810269; reward = -409.0; and epsilon = 0.84, win percentage = 0.0, 2022-04-26 07:27:07
Episode no = 1210; won: False; Q(s,a) = 69.85603544420351; reward = -442.0; and epsilon = 0.8386666666666667, win percentage = 0.0, 2022-04-26 07:27:10
Episode no = 1220; won: False; Q(s,a) = 70.7853561331482; reward = -389.0; and epsilon = 0.8373333333333334, win percentage = 0.0, 2022-04-26 07:27:14
Episode no = 1230; won: False; Q(s,a) = 73.1942414284493; reward = -326.0; and epsilon = 0.836, win percentage = 0.0, 2022-04-26 07:27:20
Episode no = 1240; won: False; Q(s,a) = 76.72615366405711; reward = -476.0; and epsilon = 0.8346666666666667, win percentage = 0.0, 2022-04-26 07:27:24
Episode no = 1250; won: False; Q(s,a) = 67.41862794130225; reward = -483.0; and epsilon = 0.8333333333333334, win percentage = 0.0, 2022-04-26 07:27:30
Episode no = 1260; won: False; Q(s,a) = 76.83326989909482; reward = -463.0; and epsilon = 0.832, win percentage = 0.0, 2022-04-26 07:27:34
Episode no = 1270; won: False; Q(s,a) = 72.91280441048836; reward = -454.0; and epsilon = 0.8306666666666667, win percentage = 0.0, 2022-04-26 07:27:37
Episode no = 1280; won: False; Q(s,a) = 78.12087527634539; reward = -466.0; and epsilon = 0.8293333333333334, win percentage = 0.0, 2022-04-26 07:27:40
Episode no = 1290; won: False; Q(s,a) = 78.10075572001796; reward = -456.0; and epsilon = 0.8280000000000001, win percentage = 0.0, 2022-04-26 07:27:46
Episode no = 1300; won: False; Q(s,a) = 52.589656568658654; reward = -432.0; and epsilon = 0.8266666666666667, win percentage = 0.0, 2022-04-26 07:27:49
Episode no = 1310; won: False; Q(s,a) = 78.85304072286912; reward = -470.0; and epsilon = 0.8253333333333334, win percentage = 0.0, 2022-04-26 07:27:53
Episode no = 1320; won: False; Q(s,a) = 76.18673113815801; reward = -431.0; and epsilon = 0.8240000000000001, win percentage = 0.0, 2022-04-26 07:27:57
Episode no = 1330; won: False; Q(s,a) = 75.41487222218335; reward = -477.0; and epsilon = 0.8226666666666667, win percentage = 0.0, 2022-04-26 07:28:00
Episode no = 1340; won: False; Q(s,a) = 71.99470859487202; reward = -472.0; and epsilon = 0.8213333333333334, win percentage = 0.0, 2022-04-26 07:28:04
Episode no = 1350; won: False; Q(s,a) = 72.85159890137533; reward = -409.0; and epsilon = 0.8200000000000001, win percentage = 0.0, 2022-04-26 07:28:10
Episode no = 1360; won: False; Q(s,a) = 88.8042844279395; reward = -260.0; and epsilon = 0.8186666666666667, win percentage = 0.0, 2022-04-26 07:28:14
Episode no = 1370; won: False; Q(s,a) = 81.66163786823977; reward = -440.0; and epsilon = 0.8173333333333334, win percentage = 0.0, 2022-04-26 07:28:17
Episode no = 1380; won: False; Q(s,a) = 80.10420926309294; reward = -447.0; and epsilon = 0.8160000000000001, win percentage = 0.0, 2022-04-26 07:28:21
Episode no = 1390; won: False; Q(s,a) = 72.37537060295023; reward = -315.0; and epsilon = 0.8146666666666667, win percentage = 0.0, 2022-04-26 07:28:25
Episode no = 1400; won: False; Q(s,a) = 74.08059496332554; reward = -455.0; and epsilon = 0.8133333333333334, win percentage = 0.0, 2022-04-26 07:28:30
Episode no = 1410; won: False; Q(s,a) = 86.54957131328412; reward = -451.0; and epsilon = 0.812, win percentage = 0.0, 2022-04-26 07:28:35
Episode no = 1420; won: False; Q(s,a) = 81.01712558813166; reward = -426.0; and epsilon = 0.8106666666666666, win percentage = 0.0, 2022-04-26 07:28:38
Episode no = 1430; won: False; Q(s,a) = 95.11480968761457; reward = -429.0; and epsilon = 0.8093333333333333, win percentage = 0.0, 2022-04-26 07:28:42
Episode no = 1440; won: False; Q(s,a) = 86.14669926242368; reward = -447.0; and epsilon = 0.808, win percentage = 0.0, 2022-04-26 07:28:47
Episode no = 1450; won: False; Q(s,a) = 84.80914326657498; reward = -300.0; and epsilon = 0.8066666666666666, win percentage = 0.0, 2022-04-26 07:28:50
Episode no = 1460; won: False; Q(s,a) = 95.75791080962027; reward = -209.0; and epsilon = 0.8053333333333333, win percentage = 0.0, 2022-04-26 07:28:55
Episode no = 1470; won: False; Q(s,a) = 84.85133487869615; reward = -404.0; and epsilon = 0.804, win percentage = 0.0, 2022-04-26 07:29:00
Episode no = 1480; won: False; Q(s,a) = 88.32798369548767; reward = -323.0; and epsilon = 0.8026666666666666, win percentage = 0.0, 2022-04-26 07:29:09
Episode no = 1490; won: False; Q(s,a) = 82.05013695247794; reward = -428.0; and epsilon = 0.8013333333333333, win percentage = 0.0, 2022-04-26 07:29:13
Episode no = 1500; won: False; Q(s,a) = 76.51582379009818; reward = -478.0; and epsilon = 0.8, win percentage = 0.0, 2022-04-26 07:29:17
Episode no = 1510; won: False; Q(s,a) = 97.02930623112321; reward = -305.0; and epsilon = 0.7986666666666666, win percentage = 0.0, 2022-04-26 07:29:22
Episode no = 1520; won: False; Q(s,a) = 97.24990787355476; reward = -382.0; and epsilon = 0.7973333333333333, win percentage = 0.0, 2022-04-26 07:29:29
Episode no = 1530; won: False; Q(s,a) = 110.53487727403181; reward = -449.0; and epsilon = 0.796, win percentage = 0.0, 2022-04-26 07:29:32
Episode no = 1540; won: False; Q(s,a) = 98.25296197751274; reward = -427.0; and epsilon = 0.7946666666666666, win percentage = 0.0, 2022-04-26 07:29:37
Episode no = 1550; won: False; Q(s,a) = 91.69908083344315; reward = -445.0; and epsilon = 0.7933333333333333, win percentage = 0.0, 2022-04-26 07:29:40
Episode no = 1560; won: False; Q(s,a) = 88.83839786096719; reward = -473.0; and epsilon = 0.792, win percentage = 0.0, 2022-04-26 07:29:46
Episode no = 1570; won: False; Q(s,a) = 92.82307449397999; reward = -455.0; and epsilon = 0.7906666666666666, win percentage = 0.0, 2022-04-26 07:29:49
Episode no = 1580; won: False; Q(s,a) = 92.357211289911; reward = -489.0; and epsilon = 0.7893333333333333, win percentage = 0.0, 2022-04-26 07:29:56
